Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание,,,,,,,,,,,,,,,,,,,,,,
Б0000241;Профиль маячковый 10мм 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;24,70;24,"18;132;;;""шт"";mayak10;0;Применяется в качестве опорной направляющей базы при оштукатуривании для получения ровной поверхности.",,,,,,,,,,,,,,,,,,,,
Б0000240;Профиль маячковый 6мм 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;19,95;19,"53;348;;;""шт"";mayak6;0;Применяется в качестве опорной направляющей базы при оштукатуривании для получения ровной поверхности.",,,,,,,,,,,,,,,,,,,,
Б0000225;Профиль направляющий   ПН2  50x40   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;74,10;72,"54;5;;;""шт"";4659;0;Металлические профили ПН имеют П-образную форму и служат в качестве направляющих элементов для стоечных профилей",а также для устройства перемычек между ними в каркасах перегородок и облицовок.<br>Применяется для устройства каркасов межкомнатных перегородок,облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО) Как правило,служит направляющим элементом для стоечного профиля соответствующего типоразмера.,,,,,,,,,,,,,,,
Б0000226;Профиль направляющий   ПН2 75x40   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;103,55;101,"37;11;;;""шт"";4667;0;Металлические профили ПН имеют П-образную форму и служат в качестве направляющих элементов для стоечных профилей",а также для устройства перемычек между ними в каркасах перегородок и облицовок.<br>Применяется для устройства каркасов межкомнатных перегородок,облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО) Как правило,служит направляющим элементом для стоечного профиля соответствующего типоразмера.,,,,,,,,,,,,,,,
Б0000227;Профиль направляющий  ПН6  100x40  3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;106,40;104,"16;8;;;""шт"";100_40;0;Металлические профили ПН имеют П-образную форму и служат в качестве направляющих элементов для стоечных профилей",а также для устройства перемычек между ними в каркасах перегородок и облицовок.<br>Применяется для устройства каркасов межкомнатных перегородок,облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО) Как правило,служит направляющим элементом для стоечного профиля соответствующего типоразмера.,,,,,,,,,,,,,,,
Б0000223;Профиль потол. направляющий ПН  28x27   3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;44,65;43,"71;108;;;""шт"";4660;0;",,,,,,,,,,,,,,,,,,,,
Б0001054;Профиль потолочный ПП  60x27  3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;69,35;67,"89;218;;;""шт"";4661;1;Область применения: С-образный металлический потолочный профиль предназначен для формирования каркаса подвесных потолков и облицовки стен. Применяется для устройства каркасов подвесных потолков",облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО)<br>Процесс применения: Как правило,используется совместно с направляющим потолочным профилем.<br>Рекомендации: Крепление профиля ПП к несущему основанию (перекрытию) осуществляется при помощи специальных подвесов,основными среди которых являются: подвес прямой и подвес с зажимом.,,,,,,,,,,,,,,,
Б0000228;Профиль стоечный  ПС2  50x50   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;94,05;92,"07;41;;;""шт"";4658;0;Стоечные профили имеют С-образную форму и служат",как правило,в качестве вертикальных стоек каркасов,предназначенных для гипсокартонных перегородок и облицовок. Применяется для устройства каркасов межкомнатных перегородок,облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО),,,,,,,,,,,,,,
Б0000229;Профиль стоечный  ПС2  75x50   3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;125,40;122,"76;8;;;""шт"";4668;0;Стоечные профили имеют С-образную форму и служат",как правило,в качестве вертикальных стоек каркасов,предназначенных для гипсокартонных перегородок и облицовок. Применяется для устройства каркасов межкомнатных перегородок,облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО),,,,,,,,,,,,,,
Б0000230;Профиль стоечный ПС6  100x50  3м (шт.);Гипсокартон и Комплектующие;Профиль для гипсокартона;;128,25;125,"55;11;;;""шт"";100_50;0;Стоечные профили имеют С-образную форму и служат",как правило,в качестве вертикальных стоек каркасов,предназначенных для гипсокартонных перегородок и облицовок. Применяется для устройства каркасов межкомнатных перегородок,облицовок и других конструкций на основе (ГКЛ,ГКЛВ,ГКЛВО),,,,,,,,,,,,,,
Б0000238;Профиль углозащитный алюминиевый 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;19,95;19,"53;376;;;""шт"";ugolokalum;0;",,,,,,,,,,,,,,,,,,,,
Б0000239;Профиль углозащитный оцинкованный 20*20  3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;21,85;21,"39;121;;;""шт"";sd_00186;0;",,,,,,,,,,,,,,,,,,,,
Б0000234;Соединитель КРАБ профилей 1-уровневый П60*27 (толщина 0.8мм);Гипсокартон и Комплектующие;Профиль для гипсокартона;;7,60;7,"44;600;;;""шт"";krab;0;Предназначен для крепления несущих отрезков потолочного профиля к основным профилям в подвесном потолке. Применяется с профилем ПП 60/27.",,,,,,,,,,,,,,,,,,,,
Б0000334;Угол арочный 3м;Гипсокартон и Комплектующие;Профиль для гипсокартона;;26,60;26,"04;0.01;;;""шт"";arochni;0;",,,,,,,,,,,,,,,,,,,,
Б0000235;Удлинитель для профиля потолочного 60х27мм;Гипсокартон и Комплектующие;Профиль для гипсокартона;;3,52;3,"45;50;;;""шт"";udlinitel;0;Служит для соединения (наращивания) потолочных профилей и применяется с профилем ПП 60/27.",,,,,,,,,,,,,,,,,,,,
Б0000188;Поликарбонат сотовый 4 мм изумрудный 2,1*12м,УФ- защита,Кронос;Для Дома и Дачи;Поликарбонат;;5320,00;5208,"00;1;;;""шт"";izumrud;0;",,,,,,,,,,,,,,,,,
Б0003049;Поликарбонат сотовый 4 мм красный 2,1*12м,УФ - защита,Кронос;Для Дома и Дачи;Поликарбонат;;5320,00;5208,"00;0.5;;;""шт"";krasn;0;",,,,,,,,,,,,,,,,,
ДХ1547;Поликарбонат сотовый 4 мм оранжевый 2,1*12м,УФ- защита,Кронос;Для Дома и Дачи;Поликарбонат;;2660,00;2604,"00;1;;;""шт"";orang;0;",,,,,,,,,,,,,,,,,
Б0002256;Поликарбонат сотовый 4 мм прозрачный 2,1*6м,УФ- защита,Кронос;Для Дома и Дачи;Поликарбонат;;1892,00;1892,"00;7;;;""шт"";prozrach;0;",,,,,,,,,,,,,,,,,
Б0000897;Профиль Кронос соед. H=4 мм,L=6,прозр.;Для Дома и Дачи;Поликарбонат;;270,75;265,"05;3;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0003334;Профиль Кронос торцевой П 4мм L=2,1 м,прозр.;Для Дома и Дачи;Поликарбонат;;42,75;41,"85;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0002509;Термошайба ТШ-4 бесцветная прозр.,поликарбонат;Для Дома и Дачи;Поликарбонат;;10,00;10,"00;100;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0000108;Диск отрезной по камню 115*2,5*22;Инструменты;Расходники;Абразивный инструмент;22,80;22,"32;39;;;""шт"";4675;0;",,,,,,,,,,,,,,,,,,,
Б0000107;Диск отрезной по камню 125*2,5*22;Инструменты;Расходники;Абразивный инструмент;26,60;26,"04;27;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0002432;Диск отрезной по камню 180*2,5*22;Инструменты;Расходники;Абразивный инструмент;39,90;39,"06;60;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0000147;Диск отрезной по камню 200*2,5*22;Инструменты;Расходники;Абразивный инструмент;40,85;39,"99;36;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001298;Диск отрезной по камню 230*2,5*22;Инструменты;Расходники;Абразивный инструмент;59,85;58,"59;32;;;""шт"";4672;0;",,,,,,,,,,,,,,,,,,,
Б0000148;Диск отрезной по металлу 115*2,5*22;Инструменты;Расходники;Абразивный инструмент;24,70;24,"18;21;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0000142;Диск отрезной по металлу 125*2,5*22;Инструменты;Расходники;Абразивный инструмент;31,35;30,"69;70;;;""шт"";4674;0;",,,,,,,,,,,,,,,,,,,
Б0001175;Диск отрезной по металлу 180*2,5*22;Инструменты;Расходники;Абразивный инструмент;40,85;40,"00;62;;;""шт"";4673;0;",,,,,,,,,,,,,,,,,,,
Б0001297;Диск отрезной по металлу 230*2,5*22;Инструменты;Расходники;Абразивный инструмент;63,65;62,"31;36;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001357;Сетка абразивная  60  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;9;;;""упак"";_MG_8162;0;Для шлифовки гипсовой глади",гипсокартонных плит,шпатлевок,штукатурки и окрашенных поверхностей. Используется также для очистки и матовки металла,дерева,пластика и цветных металлов.Покрытие:карбид кремния.,,,,,,,,,,,,,,,
Б0001358;Сетка абразивная  80  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;9;;;""упак"";_MG_8162;0;",,,,,,,,,,,,,,,,,,,,
Б0001359;Сетка абразивная 100  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;10;;;""упак"";_MG_8162;0;",,,,,,,,,,,,,,,,,,,,
Б0001003;Сетка абразивная 120  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;10;;;""упак"";_MG_8162;0;",,,,,,,,,,,,,,,,,,,,
Б0001360;Сетка абразивная 150  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;10;;;""упак"";_MG_8162;0;",,,,,,,,,,,,,,,,,,,,
Б0000748;Сетка абразивная 180  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;14;;;""упак"";_MG_8162;0;",,,,,,,,,,,,,,,,,,,,
Б0000140;Сетка абразивная 220  (10шт.);Инструменты;Расходники;Абразивный инструмент;122,55;119,"97;12;;;""упак"";_MG_8162;0;",,,,,,,,,,,,,,,,,,,,
Б0000149;Шкурка MIRKA MIROX 115мм*50м зерно  40;Инструменты;Расходники;Абразивный инструмент;38,00;37,"20;68.5;;;""пог.м"";sd_00145;0;",,,,,,,,,,,,,,,,,,,,
Б0000150;Шкурка MIRKA MIROX 115мм*50м зерно  60;Инструменты;Расходники;Абразивный инструмент;51,30;50,"22;34;;;""пог.м"";sd_00145;0;",,,,,,,,,,,,,,,,,,,,
Б0000151;Шкурка MIRKA MIROX 115мм*50м зерно  80;Инструменты;Расходники;Абразивный инструмент;50,35;49,"30;60;;;""пог.м"";sd_00145;0;",,,,,,,,,,,,,,,,,,,,
Б0000152;Шкурка MIRKA MIROX 115мм*50м зерно 100;Инструменты;Расходники;Абразивный инструмент;36,10;35,"40;54;;;""пог.м"";sd_00145;0;",,,,,,,,,,,,,,,,,,,,
Б0000153;Шкурка MIRKA MIROX 115мм*50м зерно 120;Инструменты;Расходники;Абразивный инструмент;36,10;35,"40;26;;;""пог.м"";sd_00145;0;",,,,,,,,,,,,,,,,,,,,
Б0000154;Шкурка MIRKA MIROX 115мм*50м зерно 150;Инструменты;Расходники;Абразивный инструмент;36,10;35,"40;65;;;""пог.м"";sd_00143;0;",,,,,,,,,,,,,,,,,,,,
Б0000155;Шкурка MIRKA MIROX 115мм*50м зерно 180;Инструменты;Расходники;Абразивный инструмент;36,10;35,"40;52;;;""пог.м"";sd_00143;0;",,,,,,,,,,,,,,,,,,,,
Б0000156;Шкурка MIRKA MIROX 115мм*50м зерно 240;Инструменты;Расходники;Абразивный инструмент;36,10;35,"40;47;;;""пог.м"";sd_00143;0;",,,,,,,,,,,,,,,,,,,,
Б0026119;Бур усиленный SDS+ 12х160;Инструменты;Расходники;Буры,сверла;180,50;176,"70;1;;;""шт"";sd_00152;0;",,,,,,,,,,,,,,,,,,,
Б0002137;Бур усиленный SDS+ 12х210;Инструменты;Расходники;Буры,сверла;326,80;319,"92;3;;;""шт"";sd_00152;0;",,,,,,,,,,,,,,,,,,,
Б0026217;Бур усиленный SDS+ 12х260 мм;Инструменты;Расходники;Буры,сверла;401,85;393,"39;4;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001864;Бур усиленный SDS+ 14х260;Инструменты;Расходники;Буры,сверла;475,95;465,"93;3;;;""шт"";sd_00152;0;",,,,,,,,,,,,,,,,,,,
Б0001286;Бур усиленный SDS+ 6х160;Инструменты;Расходники;Буры,сверла;225,15;220,"41;2;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0003379;Бур усиленный SDS+ 8х160;Инструменты;Расходники;Буры,сверла;204,25;199,"95;5;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0002680;Бур усиленный SDS+ 8х210;Инструменты;Расходники;Буры,сверла;199,50;195,"30;5;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0001413;Сверло для бетона 12х400;Инструменты;Расходники;Буры,сверла;163,40;159,"96;3;;;""шт"";sd_00155;0;",,,,,,,,,,,,,,,,,,,
Б0001412;Сверло для бетона 8х200;Инструменты;Расходники;Буры,сверла;55,10;53,"94;8;;;""шт"";sd_00151;0;",,,,,,,,,,,,,,,,,,,
Б0001718;Сверло по металлу  2,0х49мм;Инструменты;Расходники;Буры,сверла;27,55;26,"97;22;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001100;Сверло по металлу  2,5х57мм;Инструменты;Расходники;Буры,сверла;31,35;30,"69;14;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001101;Сверло по металлу  3,0х61мм;Инструменты;Расходники;Буры,сверла;40,85;39,"99;16;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001719;Сверло по металлу  3,2х65мм;Инструменты;Расходники;Буры,сверла;35,15;34,"41;42;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001884;Сверло по металлу  3,5х70мм;Инструменты;Расходники;Буры,сверла;68,40;66,"96;19;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001102;Сверло по металлу  4,0х75мм;Инструменты;Расходники;Буры,сверла;48,45;47,"43;13;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001720;Сверло по металлу  4,2х75мм;Инструменты;Расходники;Буры,сверла;49,40;48,"36;15;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001723;Сверло по металлу  4,5х80мм;Инструменты;Расходники;Буры,сверла;34,20;33,"48;5;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0001417;Сверло по металлу  5,0х85мм;Инструменты;Расходники;Буры,сверла;61,75;60,"45;8;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0026216;Сверло по металлу 6,0*93 мм;Инструменты;Расходники;Буры,сверла;79,80;78,"12;13;;;""шт"";;0;",,,,,,,,,,,,,,,,,,
Б0002069;Сверло универсальное  10 х 80/120;Инструменты;Расходники;Буры,сверла;204,25;199,"95;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0003185;Рулетка \RemoSpace\ 16мм,3м;Инструменты;Ручной инструмент;Измерительный инструмент;113,05;110,"67;1;;;""шт"";;0;",,,,,,,,,,,,,,,,,,,
Б0000093;Уровень коробчатый \Yellow\,3 ампулы,100см;Инструменты;Ручной инструмент;Измерительный инструмент;168,15;164,"61;3;;;""шт"";_MG_7962;0;",,,,,,,,,,,,,,,,,,
Б0000117;Уровень коробчатый \Yellow\,3 ампулы,150см;Инструменты;Ручной инструмент;Измерительный инструмент;312,55;305,"97;2;;;""шт"";_MG_7962;0;",,,,,,,,,,,,,,,,,,
Б0002791;Уровень коробчатый \Yellow\,3 ампулы,200см;Инструменты;Ручной инструмент;Измерительный инструмент;306,85;300,"39;2;;;""шт"";_MG_7962;0;",,,,,,,,,,,,,,,,,,
Б0002706;Валик Мольтопрен  180мм  (ось 8мм);Инструменты;Ручной инструмент;Малярный инструмент;167,20;163,"68;3;;;""шт"";;0;Полиэстр пенный",шубка наклеена на пластик. корпус диамнтром 48мм. Поверхности: гладкие,Применение: для красок и лаков на водной снове,,,,,,,,,,,,,,,,,,
Б0002707;Валик Мольтопрен  250мм  (ось 8мм);Инструменты;Ручной инструмент;Малярный инструмент;257,45;252,"03;2;;;""шт"";;0;Полиэстр пенный",шубка наклеена на пластик. корпус диамнтром 48мм. Поверхности: гладкие,Применение: для красок и лаков на водной снове,,,,,,,,,,,,,,,,,,
Б0000774;Валик поролоновый 200мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;76,00;74,"40;2;;;""шт"";_MG_7980;0;Шубка: поролон. Плотность поролона: 25 кг куб.м. Рекомендуемые ЛКМ: водно-клеевые растворы",воднодисперсионные краски,побелки.,,,,,,,,,,,,,,,,,,
Б0000721;Валик поролоновый 250мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;89,30;87,"42;4;;;""шт"";;0;Шубка: поролон. Плотность поролона: 25 кг куб.м. Рекомендуемые ЛКМ: водно-клеевые растворы",воднодисперсионные краски,побелки.,,,,,,,,,,,,,,,,,,
Б0000702;Валик прижимной резиновый 150мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;122,55;119,"97;1;;;""шт"";;0;Для прокатки обоев (для удаления пузырьков воздуха)",,,,,,,,,,,,,,,,,,,,
Б0000125;Валик прижимной резиновый 180мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;217,55;212,"97;2;;;""шт"";_MG_7992;0;Для прокатки обоев (для удаления пузырьков воздуха)",,,,,,,,,,,,,,,,,,,,
